# Panoptic collateral share flows (deposits positive, withdraws negative).
# Source: CollateralDeposit / CollateralWithdraw events, confirmed Base market.
# Used by the collateral-channel alternative (spec 6.2.4) to reconstruct
# per-account collateral share BALANCES as a step function of time.
owner,timestamp_unix,vault_index,shares_delta
0xb28c04c6e4f234225e62ac72111075ff77746558,1783019371,1,7.0355514571e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783019371,0,-4.497426970078405e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783019371,1,-7.0877685185e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783022993,0,4.492429883758489e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783022993,1,7.079196763e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783022993,0,-4.492151977979616e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783022993,1,-7.1326096215e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783026679,0,4.487591926824062e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783026679,1,7.1192550645e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783026679,0,-4.487337435648746e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783026679,1,-7.1690804828e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783067263,0,4.330086794619239e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783067263,1,8.4698770109e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783067263,0,-4.321798523919405e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783067263,1,-9.9676210398e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783071017,0,4.340986993383333e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783071017,1,8.3719102873e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783071017,0,-4.3415608198230796e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783071017,1,-8.4132651107e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783074597,0,4.355137624761338e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783074597,1,8.2477425413e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783074597,0,-4.355882520047099e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783074597,1,-8.1147096141e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783082007,0,4.358401080797332e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783082007,1,8.2183298234e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783082007,0,-4.3585730999044316e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783082007,1,-8.1724908512e10
0xb28c04c6e4f234225e62ac72111075ff77746558,1783086127,0,4.3655276922375045e20
0xb28c04c6e4f234225e62ac72111075ff77746558,1783086127,1,8.155640827e10
