# Panoptic υ variance regressor σ̂²_t, EIV instrument σ̃²_t, pool tick i_t (CTX-VAR)
# σ̂²_t (sigma2)            = daily realized variance of within-day V4
#   tick-implied log-price increments over the FULL within-day Swap series.
# σ̃²_t (sigma2_instrument) = the SAME estimator on the DISJOINT even-swap
#   intraday sub-window (0-based even positions) — the two-noisy-measures IV.
# i_t (pool_tick_mean)     = mean underlying pool tick over the same day,
#   from the SAME Swap series (the panel's moneyness anchor).
# epoch = UTC-day index floor(unixSeconds/86400) (same boundary as the panel).
# Source: Uniswap V4 PoolManager Swap logs on Base via chunked eth_getLogs
#   (poolId 0x96d4…288c0a); BigQuery path retired (project suspended).
epoch,sigma2,sigma2_instrument,pool_tick_mean
20617,2.7685231453784327e-4,1.1948805109531688e-4,-202084.65809768636
20618,2.3312668713700962e-4,1.9357064277439995e-4,-202008.11655742375
20619,3.5226477322905704e-4,3.935606436075515e-4,-201438.49554013874
20620,2.9329067068851474e-4,3.5724427527473367e-4,-201426.70582395766
20621,4.2339765988111844e-4,5.017298265991392e-4,-201558.14862258954
20622,1.1396350355464907e-2,1.142418757172018e-2,-201817.60849506842
20623,5.854314563661635e-4,3.2907709201638875e-4,-201948.01012425218
20624,1.5523447642300627e-4,1.7715228462391664e-4,-201787.78160301238
20625,7.263273666580563e-5,1.0156984293106522e-4,-201798.42844418052
20626,3.2463753597587985e-4,2.333666631392093e-4,-201692.20345521637
20627,1.929307067685431e-4,2.528647133179207e-4,-202094.5175
20628,6.940705923622708e-4,6.886711323127455e-4,-202333.56935846934
20629,1.1578042186132012e-3,1.0508149176324119e-3,-202565.17904488102
20630,1.1985401449867321e-3,1.041735825549283e-3,-202816.2583792957
20631,1.6690330952992799e-4,1.5125487438650162e-4,-202652.25787401575
20632,1.9876012382199118e-4,1.8759124071960506e-4,-202724.20367081114
20633,3.1393860587781275e-4,3.88711128563212e-4,-202655.70042130604
20634,2.487851212805349e-4,2.7820217955018447e-4,-202706.22019603374
20635,2.9533046670720875e-4,3.639836013365107e-4,-202564.98154217697
20636,3.1270872886634643e-4,3.7913208647518423e-4,-202131.7281119714
20637,1.9785021481361363e-4,2.5062493729736984e-4,-201752.83401305057
20638,2.3260673913217707e-4,2.3364663514169564e-4,-201516.17955555554
20639,1.5758424144449507e-4,1.591840814591758e-4,-201514.54857646022
20640,4.3815618401615316e-4,4.181281868327155e-4,-201508.61783107402
20641,1.775922406279545e-4,2.4410558923766316e-4,-201463.06050420168
20642,2.313668631207923e-4,2.8591140862076463e-4,-201694.2820662768
20643,1.6983301655677254e-4,1.934506547732754e-4,-201690.71452029087
20644,2.3409659014589452e-4,2.678132184549474e-4,-201457.00275292498
20645,1.532546744047285e-4,1.4739526035100706e-4,-201353.09330679273
20646,1.1759824007798423e-4,1.3090690919997754e-4,-201333.3768436578
20647,2.6577342243624345e-4,3.269873009973474e-4,-201453.97602050155
20648,4.974002595593349e-4,4.578042191963827e-4,-201153.36515075795
20649,1.0452154775811443e-3,6.322367757954979e-4,-200758.22174141096
20650,2.9845015473579147e-4,2.786121385539173e-4,-200893.23701955494
20651,1.0059694022214675e-3,8.727827210005506e-4,-201149.44836457184
20652,2.796120385631485e-4,2.7635236453326127e-4,-201121.98804616652
20653,2.1095890393377914e-4,1.3920607927602147e-4,-201000.97524287057
20654,8.423157677208958e-5,1.167883210705153e-4,-200988.52838010204
