# FINAL ESTIMATION PANEL v2 — Panoptic upsilon identification (phase 10, plan 10-10).
# One row per POSITION-EPOCH (tokenId x hourly epoch) — the spec section-1 unit of
# observation, restored by plan 10-09. Supersedes estimation-panel.csv, which is the
# Phase-9 accrual-SPELL export and is retained unchanged.
# git commit: ddf649e
# LHS source : notes/structural-econometrcics/data/panel-epoch.csv
# RHS source : notes/structural-econometrcics/data/variance-hourly.csv (joined on epoch, exact integer match)
# tokenId  : account#tokenId (the tokenId clustering label; account = prefix before #)
# epoch    : hourly index floor(unixSeconds/3600) — the epoch the premium ACCRUED in
# pi       : premium accrued to the SHORT side over the epoch, ETH (a FLOW, not a stock)
# sigma2   : realized variance of the epoch, from the joined variance series
# sigma2_instrument : disjoint even-swap sub-window RV of the same epoch (EIV instrument)
# distance : moneyness d = |i_K - i_t| in ticks, i_t = the epoch's mean pool tick
tokenId,epoch,pi,sigma2,sigma2_instrument,distance
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493918,4.81867196e-10,1.07989200989697e-6,1.2798720117287148e-6,221.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493919,4.05519036e-10,1.61983801484581e-6,2.379762021812552e-6,239.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493920,1.26489803e-9,3.589641032903925e-6,5.3094690486684395e-6,252.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493921,1.391160928e-9,5.439456049862107e-6,7.979202073143342e-6,318.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493922,7.58660988e-10,2.4697530226396108e-6,3.489651031988759e-6,348.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493923,4.46534388e-10,1.4298570131071426e-6,1.949805017873375e-6,343.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493924,2.94130116e-10,1.2498750114572927e-6,1.6898310154902587e-6,331.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493925,2.22661318e-10,1.5698430143903591e-6,1.8498150169567916e-6,301.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493926,5.2682252e-10,2.4897510228229275e-6,3.669633033638612e-6,308.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493927,4.58018984e-10,1.7298270158568939e-6,2.429757022272977e-6,251.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493928,8.37163354e-10,2.529747023189561e-6,3.2496750297889595e-6,270.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493929,5.71030692e-10,1.5098490138404097e-6,2.189781020073175e-6,298.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493930,6.87835848e-10,2.029797018606644e-6,3.269673029972276e-6,326.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493931,2.94158028e-10,9.499050087075427e-7,1.3198680120989005e-6,309.0
0x41b7d0515d709a4fd2cf27f9d141d0c2f8713d04#171622313847804664062707064823821437228393466890,493932,3.70723778e-10,2.0597940188816176e-6,2.429757022272976e-6,291.0
