tokenId,account,epoch_mint,epoch_burn,spell_days,premium_usd,premium_usd_per_day,strike_tick,tick_at_mint,tick_at_burn,is_long
13928864455971111638359117171722,0xb28c04c6e4f234225e62ac72111075ff77746558,20629,20636,6.358842592592593,1.2328343993455696e-4,1.938771689020415e-5,-202390,-202749,-202439,0
13928856890721559337113775279114,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,0.3722916666666667,2.5372160443128955e-6,6.8151298336328466e-6,-202490,-202439,-201982,0
13928865211549748897502351363082,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,0.3722916666666667,1.6824246412592333e-6,4.51910368105446e-6,-202380,-202439,-201982,0
13928877305530311526663743638538,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,0.3722916666666667,8.60750959305669e-6,2.3120339141954177e-5,-202220,-202439,-201982,1
13928877300807945043794098424842,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,0.3722916666666667,1.6258629232081427e-5,4.367175171460036e-5,-202220,-202439,-201982,0
13928893158496147775989016464394,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,1.7777777777777778e-2,3.626460282784529e-6,2.0398839090662976e-4,-202010,-201982,-202018,0
13928901479324337336377592548362,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,1.7777777777777778e-2,4.852261471750486e-8,2.7293970778596486e-6,-201900,-201982,-202018,0
13928896945852513781518187400202,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,2.7430555555555555e-2,1.0248446444424932e-7,3.7361425012587093e-6,-201960,-202018,-201937,0
13928893914074785035132250655754,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.2199074074074076e-2,1.5209449365731771e-6,3.60421400219206e-5,-202000,-201937,-201939,0
13928902234902974595520826739722,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.2199074074074076e-2,1.654015884392434e-8,3.919554920776366e-7,-201890,-201937,-201939,0
13928894669653422294275484847114,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.217592592592593e-2,1.4082716743332656e-7,3.3390415110426494e-6,-201990,-201939,-201937,0
13928902234902974595520826739722,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.217592592592593e-2,7.91720788872593e-9,1.877186502705599e-7,-201890,-201939,-201937,0
13928894669653422294275484847114,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.19212962962963e-2,1.5626740447704865e-6,3.727637699286859e-5,-201990,-201937,-201938,0
13928902990481611854664060931082,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.19212962962963e-2,1.4475260135459668e-9,3.452961004151616e-8,-201880,-201937,-201938,0
13928894669653422294275484847114,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.266203703703704e-2,1.001362992101002e-6,2.347199200149934e-5,-201990,-201938,-201918,0
13928902990481611854664060931082,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20636,4.266203703703704e-2,1.1604194423676513e-10,2.7200282099990523e-9,-201880,-201938,-201918,0
13928896180810696812561953229834,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20637,0.4697222222222222,5.787178553979173e-6,1.2320427436028992e-5,-201970,-201918,-201816,0
13928904501638886372950529313802,0xb28c04c6e4f234225e62ac72111075ff77746558,20636,20637,0.4697222222222222,3.9617719967505377e-5,8.434286923892334e-5,-201860,-201918,-201816,0
13928909790689347186953168653322,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.344907407407408e-2,6.211388419214819e-6,1.4295790075124142e-4,-201790,-201816,-201795,0
13928905247754343922280763526154,0xb28c04c6e4f234225e62ac72111075ff77746558,20637,20637,4.1435185185185186e-2,9.914623044333705e-8,2.392802879973274e-6,-201850,-201795,-201733,0
