# epoch-blocks.csv — HOURLY epoch -> first Base block at or after epoch*3600
# RPC: https://mainnet.base.org   built: 2026-07-21
# epoch rule: Panel.Build.epochOfSeconds 3600 (single source of truth); boundary instant = epoch * 3600
# window blocks 43781657..48879461; columns: epoch, block_number, block_timestamp (unix seconds)
epoch,block_number,block_timestamp
493129,44237527,1775264401
493130,44239327,1775268001
493131,44241127,1775271601
493132,44242927,1775275201
493133,44244727,1775278801
493134,44246527,1775282401
493135,44248327,1775286001
493136,44250127,1775289601
493137,44251927,1775293201
493138,44253727,1775296801
493139,44255527,1775300401
493140,44257327,1775304001
493141,44259127,1775307601
493142,44260927,1775311201
493143,44262727,1775314801
493144,44264527,1775318401
493145,44266327,1775322001
493146,44268127,1775325601
493147,44269927,1775329201
493148,44271727,1775332801
493149,44273527,1775336401
493150,44275327,1775340001
493151,44277127,1775343601
493152,44278927,1775347201
493153,44280727,1775350801
493154,44282527,1775354401
493155,44284327,1775358001
493156,44286127,1775361601
493157,44287927,1775365201
493158,44289727,1775368801
493159,44291527,1775372401
493160,44293327,1775376001
493161,44295127,1775379601
493162,44296927,1775383201
493163,44298727,1775386801
493164,44300527,1775390401
493165,44302327,1775394001
493166,44304127,1775397601
493167,44305927,1775401201
493168,44307727,1775404801
493169,44309527,1775408401
493170,44311327,1775412001
493171,44313127,1775415601
493172,44314927,1775419201
493173,44316727,1775422801
493174,44318527,1775426401
493175,44320327,1775430001
493176,44322127,1775433601
493177,44323927,1775437201
493178,44325727,1775440801
493179,44327527,1775444401
493180,44329327,1775448001
493181,44331127,1775451601
493182,44332927,1775455201
493183,44334727,1775458801
493184,44336527,1775462401
493185,44338327,1775466001
493186,44340127,1775469601
493187,44341927,1775473201
493188,44343727,1775476801
493189,44345527,1775480401
493190,44347327,1775484001
493191,44349127,1775487601
493192,44350927,1775491201
493193,44352727,1775494801
493194,44354527,1775498401
493195,44356327,1775502001
493196,44358127,1775505601
493197,44359927,1775509201
493198,44361727,1775512801
493199,44363527,1775516401
493200,44365327,1775520001
493201,44367127,1775523601
493202,44368927,1775527201
493203,44370727,1775530801
493204,44372527,1775534401
493205,44374327,1775538001
493206,44376127,1775541601
493207,44377927,1775545201
493208,44379727,1775548801
493209,44381527,1775552401
493210,44383327,1775556001
493211,44385127,1775559601
493212,44386927,1775563201
493213,44388727,1775566801
493214,44390527,1775570401
493215,44392327,1775574001
493216,44394127,1775577601
493217,44395927,1775581201
493218,44397727,1775584801
